name,id,latitude,longitude,,,,,lat,,,,,,,,long,,\
 Medical Marijuana Physician Evaluations,4b611f9bf964a520750a2ae3,37.787754,-122.407047,,,,,,,,,,,,,,,
marijuana bud store,56f685f4498e8164e4bf11f5,37.741283,-122.402585,,,,,,,,,,,,,,,
Marijuana  Bud Store,579df560498e408b3045d241,37.741283,-122.402585,,,,,,,,,,,,,,,
MMJ Doctor - Medical Marijuana Doctor,537ab1f6498eb2a2de8aeffe,37.771149,-122.424843,,,,,,,,,,,,,,,
The Apothecarium,4d094f5ac26ba14344671e17,37.767534,-122.428824,,,,,,,,,,,,,,,
The Spa Dispensary room,4e6a416fb993d5439f2600ad,37.786475,-122.404309,,,,,,,,,,,,,,,
Medical Marijuana Card Doctors Hollywood Easy ...,56a9ce16498e1525f20f2c62,37.786697,-122.420169,,,,,,,,,,,,,,,
Medical Marijuana Card Doctors Hollywood Easy ...,56b20b2f237c532a7cc51b8d,37.786917,-122.4201,,,,,,,,,,,,,,,
Medical Marijuana Office,4fcfce98e4b014bc8f31e164,37.769859,-122.414871,,,,,,,,,,,,,,,
Mission Street Marijuana Doctor,54f69d8d498e859ac210bd77,37.771359,-122.415462,,,,,,,,,,,,,,,
Purple Star MD Medical Cannabis Dispensary,51b75759498e0596ceb4006f,37.756652,-122.418932,,,,,,,,,,,,,,,
San Francisco Marijuana Delivery,54115443498e268f429b0704,37.772224,-122.418723,,,,,,,,,,,,,,,
AllMarijuanaStocks.com,585a1c7e469aef0db46aab1e,37.771512,-122.427059,,,,,,,,,,,,,,,
SFGH Medical Marijuana Office,4cb8d4d54352a1cd89a488f5,37.755327,-122.410478,,,,,,,,,,,,,,,
Spring Wind Dispensary,4be9d6beb3352d7f7b7a54d2,37.784662,-122.444795,,,,,,,,,,,,,,,
Harborside Health Center,4bb3ce2814cfd13ab99416ab,37.7839,-122.242708,,,,,,,,,,,,,,,
Medical Marijuana Evaluation Center,4bb7c670b35776b01729c801,37.812406,-122.270731,,,,,,,,,,,,,,,
Dewey's duty-free Dispensary,522bc30c11d2e38655e70958,37.892754,-122.277016,,,,,,,,,,,,,,,
7 Star Med's Dispensary,4dd6d92d52b1a5c6443e1448,37.965307,-122.312936,,,,,,,,,,,,,,,
Marin Alliance For Medical Marijuana,4e82657e02d54fb95234f325,37.987344,-122.590899,,,,,,,,,,,,,,,
Marijuana Delivery | cannahealth.com,54341ced498ec001c68d6792,37.960529,-122.033051,,,,,,,,,,,,,,,
Garden of Eden,55b9a128498eff099d0540cf,37.685337,-122.092849,,,,,,,,,,,,,,,
The Medical Marijuana (Cannabis) Expert: Dr. R...,531e5800498ed01112c794ce,37.897191,-122.056432,,,,,,,,,,,,,,,
Dr. Rachna Patel The Medical Marijuana (Cannab...,55ad12bb498ed9bf361f2c70,37.897261,-122.056535,,,,,,,,,,,,,,,
Sugar High Dessert Dispensary,50cfe49fe4b01ebdb62590c9,37.526374,-122.001139,,,,,,,,,,,,,,,
Higher Elevation Delivery Dispensary,57228406498ecb4249efd49c,37.695927,-121.886873,,,,,,,,,,,,,,,